TIME,pH,STDEV
0,6.126666667,0.073711148
10,6.18,0.158745079
20,6.086666667,0.126622799
30,5.95,0.153948043
40,5.853333333,0.228108161
50,5.74,0.289309523
60,5.643333333,0.304357246
70,5.573333333,0.283078317
80,5.4,0.31
90,5.236666667,0.265015723
100,5.116666667,0.345880519
110,5.11,0.242693222
120,4.78,0.274043792
130,4.873333333,0.070945989
140,4.773333333,0.241729877
150,4.723333333,0.162890556
160,4.513333333,0.237135685
170,4.476666667,0.151437556
180,4.54,0.165227116
