TIME,MEAN,INITIAL,STDEV
0,0,5.234685974,0.31028155
30,-0.651109389,5.234685974,0.270196134
60,-1.340739367,5.234685974,0.338292221
90,-1.632625983,5.234685974,0.480310069
120,-2.651109389,5.234685974,0.465692849
150,-3.597863877,5.234685974,0.458864995
180,-5.234685974,5.234685974,0.681089581
