TIME,MEAN,INITIAL,STDEV
0,0,5.383216752,0.184753275
3,-1.93948451,5.383216752,0.292518446
6,-2.664438354,5.383216752,0.210816913
9,-5.383216752,5.383216752,0
12,-5.383216752,5.383216752,0
