TIME,pH,STDEV
0,6.006666667,0.300887576
10,5.916666667,0.120968315
20,5.896666667,0.051316014
30,5.773333333,0.032145503
40,5.486666667,0.200333056
50,5.45,0.372424489
60,5.293333333,0.488501109
70,5.453333333,0.087368949
80,5.336666667,0.046188022
90,5.116666667,0.186100331
100,5.123333333,0.120554275
110,5.036666667,0.066583281
120,4.97,0.06
130,4.93,0.075498344
140,4.84,0.045825757
150,4.81,0.026457513
160,4.793333333,0.060277138
170,4.66,0.130766968
180,4.66,0.180277564
