TIME,pH,STDEV
0,4.946666667,0.076376262
10,4.876666667,0.144337567
20,4.806666667,0.037859389
30,4.636666667,0.127017059
40,4.5,0.098488578
50,4.413333333,0.105987421
60,4.39,0.017320508
70,4.293333333,0.030550505
80,4.19,0.017320508
90,4.113333333,0.015275252
100,4.046666667,0.032145503
110,3.943333333,0.056862407
120,3.86,0.026457513
130,3.876666667,0.055075705
140,3.86,0.01
150,3.786666667,0.025166115
160,3.78,0.03
170,3.723333333,0.060277138
180,3.796666667,0.106926766
