TIME,MEAN,INITIAL,STDEV
0,0,5.619788758,0.095158171
30,-0.453457337,5.619788758,0.235027862
60,-0.634512015,5.619788758,0.442299754
90,-0.818156412,5.619788758,0.431241971
120,-1.552841969,5.619788758,0.278840044
150,-1.500312917,5.619788758,0.167085121
180,-1.665546249,5.619788758,0.029001351
