TIME,MEAN,INITIAL,STDEV
0,0,5.973127854,0.178411138
30,-0.026184583,5.973127854,0.037642883
60,0.056931869,5.973127854,0.095969405
90,0.057606763,5.973127854,0.109928588
120,-0.569435516,5.973127854,0.609252491
150,-0.563758383,5.973127854,0.702774985
180,-0.304121073,5.973127854,0.658297311
