TIME,MEAN,INITIAL,STDEV
0,0,5.531478917,0.478076889
30,-0.042458439,5.531478917,0.255283234
60,-0.092146223,5.531478917,0.332987008
90,-0.464532127,5.531478917,0.375760845
120,-0.546202174,5.531478917,0.437224871
150,-0.71856556,5.531478917,0.523856042
180,-0.370110915,5.531478917,0.046151555
